symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
LUPIN26APRFUT,,2026-04-07,NSE,FO,,buy,false,425.000000,2306.600000,181812,2100000103867485,2026-04-07T11:19:59,2026-04-28
LUPIN26APRFUT,,2026-04-07,NSE,FO,,buy,false,425.000000,2306.600000,181813,2100000103867485,2026-04-07T11:19:59,2026-04-28
LUPIN26APRFUT,,2026-04-07,NSE,FO,,buy,false,425.000000,2306.700000,181814,2100000103867485,2026-04-07T11:19:59,2026-04-28
LUPIN26APRFUT,,2026-04-07,NSE,FO,,buy,false,425.000000,2306.200000,181811,2100000103867485,2026-04-07T11:19:59,2026-04-28
LAURUSLABS26APRFUT,,2026-04-07,NSE,FO,,buy,false,850.000000,1067.350000,189803,2100000110882077,2026-04-07T11:32:56,2026-04-28
LAURUSLABS26APRFUT,,2026-04-07,NSE,FO,,buy,false,850.000000,1067.450000,189805,2100000110882077,2026-04-07T11:32:56,2026-04-28
LAURUSLABS26APRFUT,,2026-04-07,NSE,FO,,buy,false,850.000000,1067.500000,189806,2100000110882077,2026-04-07T11:32:56,2026-04-28
LAURUSLABS26APRFUT,,2026-04-07,NSE,FO,,buy,false,850.000000,1067.450000,189804,2100000110882077,2026-04-07T11:32:56,2026-04-28
POWERINDIA26APRFUT,,2026-04-07,NSE,FO,,buy,false,50.000000,25115.000000,223822,2300000123123699,2026-04-07T11:39:26,2026-04-28
POWERINDIA26APRFUT,,2026-04-07,NSE,FO,,buy,false,50.000000,25110.000000,223821,2300000123123699,2026-04-07T11:39:26,2026-04-28
POWERINDIA26APRFUT,,2026-04-07,NSE,FO,,buy,false,50.000000,25115.000000,223823,2300000123123699,2026-04-07T11:39:26,2026-04-28
POWERINDIA26APRFUT,,2026-04-07,NSE,FO,,buy,false,50.000000,25120.000000,223824,2300000123123699,2026-04-07T11:39:26,2026-04-28
LUPIN26APR2340CE,,2026-04-07,NSE,FO,,sell,false,425.000000,44.350000,195241,2100000115213899,2026-04-07T11:41:32,2026-04-28
LUPIN26APR2340CE,,2026-04-07,NSE,FO,,sell,false,425.000000,44.450000,195239,2100000115213899,2026-04-07T11:41:32,2026-04-28
LUPIN26APR2340CE,,2026-04-07,NSE,FO,,sell,false,425.000000,44.400000,195240,2100000115213899,2026-04-07T11:41:32,2026-04-28
LUPIN26APR2340CE,,2026-04-07,NSE,FO,,sell,false,425.000000,44.350000,195242,2100000115213899,2026-04-07T11:41:32,2026-04-28
LAURUSLABS26APR1100CE,,2026-04-07,NSE,FO,,sell,false,850.000000,26.000000,195469,2100000115501867,2026-04-07T11:41:59,2026-04-28
LAURUSLABS26APR1100CE,,2026-04-07,NSE,FO,,sell,false,850.000000,26.000000,195470,2100000115501867,2026-04-07T11:41:59,2026-04-28
LAURUSLABS26APR1100CE,,2026-04-07,NSE,FO,,sell,false,850.000000,26.050000,195467,2100000115501867,2026-04-07T11:41:59,2026-04-28
LAURUSLABS26APR1100CE,,2026-04-07,NSE,FO,,sell,false,850.000000,26.000000,195468,2100000115501867,2026-04-07T11:41:59,2026-04-28
POWERINDIA26APR26000CE,,2026-04-07,NSE,FO,,sell,false,200.000000,685.000000,226613,2300000125601772,2026-04-07T11:43:01,2026-04-28
