symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,260.000000,69.050000,222107,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,390.000000,69.050000,222106,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,260.000000,69.000000,222105,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,390.000000,69.000000,222104,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,65.000000,69.100000,222109,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,65.000000,69.100000,222110,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,65.000000,69.100000,222111,1300000003354876,2026-04-08T09:18:54,2026-04-28
NIFTY26APR25000CE,,2026-04-08,NSE,FO,,buy,false,65.000000,69.100000,222108,1300000003354876,2026-04-08T09:18:54,2026-04-28
BHEL26APR280CE,,2026-04-09,NSE,FO,,sell,false,2625.000000,9.250000,435322,2400000211562860,2026-04-09T13:09:19,2026-04-28
BHEL26APR280CE,,2026-04-09,NSE,FO,,sell,false,2625.000000,9.250000,435320,2400000211562860,2026-04-09T13:09:19,2026-04-28
BHEL26APR280CE,,2026-04-09,NSE,FO,,sell,false,2625.000000,9.250000,435319,2400000211562860,2026-04-09T13:09:19,2026-04-28
BHEL26APR280CE,,2026-04-09,NSE,FO,,sell,false,2625.000000,9.250000,435321,2400000211562860,2026-04-09T13:09:19,2026-04-28
BEL26APR450CE,,2026-04-09,NSE,FO,,sell,false,1425.000000,10.100000,435640,2400000211912726,2026-04-09T13:09:50,2026-04-28
BEL26APR450CE,,2026-04-09,NSE,FO,,sell,false,1425.000000,10.100000,435641,2400000211912726,2026-04-09T13:09:50,2026-04-28
BEL26APR450CE,,2026-04-09,NSE,FO,,sell,false,1425.000000,10.100000,435639,2400000211912726,2026-04-09T13:09:50,2026-04-28
BEL26APR450CE,,2026-04-09,NSE,FO,,sell,false,5700.000000,10.100000,435643,2400000211912726,2026-04-09T13:09:50,2026-04-28
BEL26APR450CE,,2026-04-09,NSE,FO,,sell,false,1425.000000,10.100000,435642,2400000211912726,2026-04-09T13:09:50,2026-04-28
ABB26APR6000CE,,2026-04-09,NSE,FO,,buy,false,250.000000,660.000000,411334,2000000249295845,2026-04-09T13:11:00,2026-04-28
ABB26APR6000CE,,2026-04-09,NSE,FO,,buy,false,250.000000,660.000000,411333,2000000249295845,2026-04-09T13:11:00,2026-04-28
ABB26APRFUT,,2026-04-09,NSE,FO,,sell,false,125.000000,6618.500000,411400,2000000249860963,2026-04-09T13:11:08,2026-04-28
ABB26APRFUT,,2026-04-09,NSE,FO,,sell,false,250.000000,6618.500000,411399,2000000249860963,2026-04-09T13:11:08,2026-04-28
ABB26APRFUT,,2026-04-09,NSE,FO,,sell,false,125.000000,6618.000000,411401,2000000249860963,2026-04-09T13:11:08,2026-04-28
UPL26APR650CE,,2026-04-09,NSE,FO,,sell,false,5420.000000,19.000000,368101,2600000168955010,2026-04-09T13:12:55,2026-04-28
